,Unnamed: 0,Город,Федеральный округ,Население,Широта,Долгота,Часовой пояс,admin_levels
0,0,Москва,Центральный,11514330.0,55.7538789,37.6203735,UTC+3,"[4.0, 5.0, 8.0]"
1,1,Санкт-Петербург,Северо-Западный,4848742.0,59.939125,30.3158225,UTC+3,"[4.0, 5.0, 8.0]"
2,2,Новосибирск,Сибирский,1498921.0,55.0281016,82.9210575,UTC+7,"[6.0, 9.0]"
3,3,Екатеринбург,Уральский,1377738.0,56.8386326,60.6054887,UTC+5,"[6.0, 9.0]"
4,4,Нижний Новгород,Приволжский,1250615.0,56.3242093,44.0053948,UTC+3,"[6.0, 8.0]"
5,5,Казань,Приволжский,1216965.0,55.7943877,49.1115312,UTC+3,"[6.0, 9.0]"
6,6,Самара,Приволжский,1164900.0,53.1951657,50.1067691,UTC+4,"[6.0, 9.0]"
7,7,Омск,Сибирский,1154000.0,54.9848136,73.3674638,UTC+6,"[6.0, 9.0]"
8,8,Челябинск,Уральский,1130273.0,55.1603659,61.4007858,UTC+5,"[6.0, 8.0]"
9,9,Ростов-на-Дону,Южный,1091544.0,47.2224364,39.7187866,UTC+3,"[6.0, 9.0]"
10,10,Уфа,Приволжский,1062300.0,54.734853,55.9578647,UTC+5,"[6.0, 9.0]"
11,11,Волгоград,Южный,1021244.0,48.7072005,44.5170207,UTC+3,"[6.0, 9.0]"
12,12,Пермь,Приволжский,1000679.0,58.0103211,56.2341778,UTC+5,"[6.0, 9.0, 10.0]"
13,13,Красноярск,Сибирский,973826.0,56.009466,92.8524162,UTC+7,"[6.0, 9.0]"
14,14,Воронеж,Центральный,889680.0,51.6592378,39.1968284,UTC+3,"[6.0, 9.0]"
15,15,Саратов,Приволжский,836900.0,51.530376,45.9530257,UTC+4,"[6.0, 9.0]"
16,16,Краснодар,Южный,744933.0,45.040235,38.9760801,UTC+3,"[6.0, 9.0]"
17,17,Тольятти,Приволжский,719484.0,53.5206438,49.389461,UTC+4,"[6.0, 9.0]"
18,18,Барнаул,Сибирский,635585.0,53.3481145,83.7798362,UTC+7,"[6.0, 9.0]"
19,19,Ижевск,Приволжский,628117.0,56.8527444,53.2113961,UTC+4,"[6.0, 9.0]"
20,20,Ульяновск,Приволжский,613793.0,54.3080674,48.3748717,UTC+4,"[6.0, 9.0]"
21,21,Владивосток,Дальневосточный,592069.0,43.1163807,131.882348,UTC+10,"[6.0, 9.0]"
22,22,Ярославль,Центральный,591486.0,57.6216145,39.897878,UTC+3,"[6.0, 9.0]"
23,23,Иркутск,Сибирский,587225.0,52.2863513,104.280655,UTC+8,"[6.0, 9.0]"
24,24,Тюмень,Уральский,581758.0,57.1530824,65.5343118,UTC+5,"[6.0, 9.0]"
25,25,Махачкала,Северо-Кавказский,577990.0,42.9848572,47.5046303,UTC+3,"[6.0, 9.0]"
26,26,Хабаровск,Дальневосточный,577668.0,48.4647991,135.0598811,UTC+10,"[6.0, 9.0]"
27,27,Оренбург,Приволжский,570329.0,51.7875191,55.1017379,UTC+5,"[6.0, 9.0]"
28,28,Новокузнецк,Сибирский,547885.0,53.7942757,87.2144046,UTC+7,"[6.0, 9.0]"
29,29,Кемерово,Сибирский,532884.0,55.3909721,86.0467864,UTC+7,"[6.0, 9.0, 10.0]"
30,30,Рязань,Центральный,525062.0,54.625457,39.7359992,UTC+3,"[6.0, 9.0, 10.0]"
31,31,Томск,Сибирский,522940.0,56.4847036,84.9481737,UTC+7,"[6.0, 9.0]"
32,32,Астрахань,Южный,520662.0,46.3655808,48.0559979,UTC+4,"[6.0, 9.0]"
33,33,Пенза,Приволжский,519592.0,53.1753884,45.0347408,UTC+3,"[6.0, 9.0]"
34,34,Набережные Челны,Приволжский,513242.0,55.7436475,52.3958739,UTC+3,"[6.0, 9.0]"
35,35,Липецк,Центральный,508124.0,52.6103027,39.5946266,UTC+3,"[6.0, 9.0]"
36,36,Тула,Центральный,501129.0,54.192017,37.6153885,UTC+3,"[6.0, 9.0]"
