from,to,street_name
330779066,330779067,улица Тараса Шевченко
1588404957,1588404951,улица Чкалова
1588404951,9345219647,улица Чкалова
9345219647,330948854,улица Чкалова
330948854,9345219648,улица Чкалова
9345219648,9345219642,улица Чкалова
9345219642,9345219639,улица Чкалова
9345219639,8118434492,улица Чкалова
8118434492,330695834,улица Чкалова
330779157,1589932744,Советская улица
1589932744,1589932743,Советская улица
1589932743,330948906,Советская улица
330948906,330949278,Советская улица
330949278,330949239,Советская улица
989837235,8105326987,Хакасская улица
8105326987,1588492003,Хакасская улица
1588492003,1589936533,Хакасская улица
1589936533,6754429734,Хакасская улица
6754429734,5877980929,Хакасская улица
5877980929,989837632,Хакасская улица
989837632,6311059518,Хакасская улица
6311059518,989837634,Хакасская улица
989837634,1588404957,Хакасская улица
1590006753,1590006762,-
1590006762,1590352857,-
1590352857,1590352869,-
1590352869,1590352879,-
1590352879,1590352881,-
1590352881,1590352882,-
1590075000,1590075096,улица Вяткина
1590075096,1590075261,улица Вяткина
1590075261,8111274854,улица Вяткина
8111274854,1590075341,улица Вяткина
1590075341,1590317127,улица Вяткина
1590317127,1590317150,улица Вяткина
1590317150,1590317159,улица Вяткина
1590317159,8105326981,улица Вяткина
8105326981,989835731,улица Вяткина
1588312298,1588325658,-
1588325658,1588312312,-
1588312312,8383620891,-
8383620891,1588312348,-
1588468321,1588468300,-
1588468300,1588491993,-
1588491993,8082980151,-
8082980151,1588312242,-
1588312542,1588312544,-
1588312544,1588312550,-
1588312550,1588312546,-
1588312546,1588312414,-
1588312348,1588312353,-
1588312353,1588312357,-
1588312357,1588312433,-
1588312433,1588312513,-
1588356790,7370284134,-
7370284134,1588356789,-
1588356789,8082878294,-
1588356797,7370288417,-
7370288417,1588356796,-
1588356796,1588356798,-
1588404862,9345219641,-
9345219641,1588404865,-
1588404865,1588404870,-
1588404870,1588404879,-
1588404879,1588404887,-
1588404887,1588404894,-
1588404894,1588404913,-
1588404913,1588404914,-
1588409101,1588409099,-
1588409092,1588409093,-
1588409093,1588409097,-
1588409097,1588409101,-
1588409101,1588409102,-
330695824,5899065425,улица Щетинкина
5899065425,1588592706,улица Щетинкина
1588592706,8110054130,улица Щетинкина
8110054130,1588312298,улица Щетинкина
1588312298,1588312323,улица Щетинкина
1588312323,1588592753,улица Щетинкина
1588592753,6311059507,улица Щетинкина
6311059507,1588312542,улица Щетинкина
1588312542,8383620882,улица Щетинкина
8383620882,6311059515,улица Щетинкина
6311059515,8100821559,улица Щетинкина
8100821559,1588257447,улица Щетинкина
1588257447,330935027,улица Щетинкина
1588491993,8340902429,-
8340902429,1588492003,-
1588592687,1588631992,-
1588631992,1588632009,-
1588632009,1588592688,-
1588592679,1588592687,-
1588592687,1588592694,-
1588592706,1588592703,-
1588592703,1588592701,-
1588592666,1588592669,-
1588592669,1588592679,-
1588592679,1588592676,-
1588592676,1588592654,-
1588592654,1588592642,-
1588631992,1588632060,-
1588632060,1588632091,-
1588632091,1588632150,-
1588632150,1588632146,-
1589343171,1589343375,-
1589343375,1589343642,-
1589343642,1589343900,-
1589343900,1589343979,-
1589343979,1589343998,-
1589343998,1589344028,-
1589344028,1589344042,-
1589344042,1589344056,-
1589344056,1589344068,-
330799012,1589343626,-
1589343626,1589343721,-
1589343721,1589343663,-
1589343663,1589343707,-
1589343707,1589343759,-
1589343759,1589343867,-
1589343867,1589343934,-
1589343934,1589343972,-
1589343972,1589343983,-
1589343983,1589344038,-
1589344038,1589344025,-
1589343013,1589343088,-
1589343088,1589343246,-
1589343246,1589343303,-
1589343303,1589343403,-
1589343403,1589343567,-
1589343567,1589343546,-
1589343546,1589343566,-
1589343566,1589343511,-
1589343511,1589343299,-
1589343299,1589343216,-
1589343216,1589343048,-
1589343048,1589342970,-
1589342970,1589342714,-
1589343863,1589343975,-
1589342907,1589342868,-
1589342868,1589342794,-
1589343721,1589344000,-
1589344000,1589344006,-
1589343902,1589343981,-
1589343981,1589344005,-
1589343207,1589342870,-
1589342870,1589342676,-
1589342676,1589342674,-
1589343723,1589343897,-
1589343897,1589343947,-
1589343947,1589343937,-
330799012,1589343696,-
1589343696,1589343769,-
1589343769,1589343723,-
1589343723,1589343612,-
1589343900,1589343892,-
1589343892,1589343868,-
1589343868,1589343902,-
1589343902,1589343863,-
1589343863,1589343777,-
1589343549,1589343381,-
1589343381,1589343209,-
1589343209,1589343087,-
1589343087,1589343047,-
1589343047,1589343133,-
1589343133,1589343238,-
330779259,1589343013,-
1589343013,1589343240,-
1589343240,1589343435,-
1589343435,1589343549,-
1589343549,1589343666,-
1589343666,1589343755,-
1589343755,1589343782,-
1589343782,1589343548,-
1589762098,8241193506,-
8241193506,1589762110,-
1589762110,1589762120,-
1589761969,1589761966,-
1589761966,1589761956,-
1589761956,1589761951,-
1589761951,1589761949,-
1589761949,1589761926,-
1516237057,8474365340,улица Маршала Жукова
8474365340,8944712602,улица Маршала Жукова
8944712602,1590352958,улица Маршала Жукова
1516237057,8173449766,улица Пушкина
8173449766,10172683640,улица Пушкина
10172683640,1589993807,улица Пушкина
1589993807,330779545,улица Пушкина
330779130,8086586995,улица Пушкина
8086586995,1589993822,улица Пушкина
1589925018,1589925023,-
1589925023,1589925031,-
1589925031,1589925046,-
1589925046,1589925069,-
1589925112,1589925099,-
1589925099,1589925095,-
1589925095,1589925101,-
1589925101,1589925111,-
1589925111,1589925125,-
1589925154,8246768911,-
8246768911,1589925129,-
1589925129,1589925125,-
1589925125,1589925115,-
1589925115,1589925119,-
1589925119,1589925112,-
